Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
WERTHEIMER & FRERE	64	111	26	60	642862,00	340632,00	983494,00	87789,00	5791,55	10045	2
MR GERARD AUGUSTIN-NORMAND	90	190	30	116	453288,00	246477,00	699765,00	111075,00	2385,73	5037	2
GOUSSERIE RACING	42	122	16	71	299688,00	163734,00	463422,00	74700,00	2456,46	7135	3
AGA KHAN STUDS	28	42	11	22	264293,00	100523,00	364816,00	26293,00	6292,69	9439	2
GODOLPHIN SNC	25	34	7	19	203456,00	19218,00	222674,00	7984,00	5984,00	8138	1
MR JEAN-CLAUDE SEROUL	37	86	9	61	190809,00	107140,00	297949,00	31214,00	2218,71	5157	2
ECURIE NICOLATO	34	156	21	84	178789,00	80932,00	259721,00	58532,00	1146,08	5258	5
MR BERNARD GIRAUDON	27	98	17	45	168077,00	94957,00	263034,00	48802,00	1715,07	6225	4
YEGUADA CENTURION SLU	17	29	8	13	166045,00	110535,00	276580,00	25193,00	5725,69	9767	2
MR JEAN-PIERRE-JOSEPH DUBOIS	21	50	13	29	165219,00	115741,00	280960,00	41758,00	3304,38	7868	2
LE MARAIS SAS	33	76	13	41	132721,00	87732,00	220453,00	37105,00	1746,33	4022	2
AL SHAQAB RACING	20	27	5	16	126479,00	84694,00	211173,00	20002,00	4684,41	6324	1
MR GUY PARIENTE	32	85	12	47	122916,00	76135,00	199051,00	40396,00	1446,07	3841	3
MR ALAIN JATHIERE	26	47	6	25	120313,00	58450,00	178763,00	22129,00	2559,85	4627	2
L.BAUDRON (S)	18	49	8	27	119251,00	59508,00	178759,00	28859,00	2433,69	6625	3
D.ARTU (S)	15	75	11	35	118111,00	54314,00	172425,00	32159,00	1574,81	7874	5
ECURIE DAVID R. LAYANI FAMILLE	16	39	6	27	117259,00	77986,00	195245,00	28021,00	3006,64	7329	2
MR FINN BLICHFELDT	8	17	4	9	115202,00	71424,00	186626,00	24618,00	6776,59	14400	2
JUDDMONTE FARMS INC	12	16	4	10	110936,00	5329,00	116265,00	1056,00	6933,50	9245	1
WESTMINSTER RACE HORSES SP ZOO	18	49	6	27	110742,00	23766,00	134508,00	6362,00	2260,04	6152	3
MR NURLAN BIZAKOV	22	47	4	32	108488,00	42178,00	150666,00	14958,00	2308,26	4931	2
C.BOUTIN (S)	17	74	9	38	106358,00	49944,00	156302,00	25107,00	1437,27	6256	4
ECURIES SERGE STEMPNIAK	22	67	6	42	97322,00	56267,00	153589,00	24432,00	1452,57	4424	3
M.BOUTIN (S)	16	81	7	43	95775,00	45877,00	141652,00	24371,00	1182,41	5986	5
MR JAN ROMEL	14	39	7	22	95571,00	63967,00	159538,00	25412,00	2450,54	6826	3
RED AND WHITE RACING	14	83	10	55	93948,00	43760,00	137708,00	39660,00	1131,90	6711	6
FAL STUD SAS	24	61	6	30	89186,00	55149,00	144335,00	24782,00	1462,07	3716	3
