Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
AGA KHAN STUDS	78	254	78	131	6289882,00	1420267,00	7710149,00	545206,00	24763,31	80640	3
WERTHEIMER & FRERE	111	404	85	215	4284545,00	1720131,00	6004676,00	479209,00	10605,31	38600	4
AL SHAQAB RACING	81	211	35	112	2325134,00	684533,00	3009667,00	313293,00	11019,59	28705	3
MME J. MAGNIER/D.SMITH/M.TABOR	14	26	2	10	2148765,00	0,00	2148765,00	0,00	82644,81	153483	2
GODOLPHIN SNC	57	221	44	121	1799310,00	231956,00	2031266,00	65690,00	8141,67	31567	4
MR GERARD AUGUSTIN-NORMAND	155	755	93	425	1601241,00	811873,00	2413114,00	468414,00	2120,85	10331	5
WATHNAN RACING	50	94	25	44	1463635,00	298918,00	1762553,00	105493,00	15570,59	29273	2
WHITE BIRCH FARM	12	33	9	17	931976,00	330374,00	1262350,00	152987,00	28241,70	77665	3
TABOR/SMITH/MAGNIER/BRANT	1	2	1	1	931395,00	0,00	931395,00	0,00	465697,50	931395	2
GOUSSERIE RACING	56	375	43	212	882174,00	458889,00	1341063,00	197965,00	2352,46	15753	7
JUDDMONTE FARMS INC	33	96	29	52	877305,00	1986,00	879291,00	393,00	9138,59	26585	3
MR JEAN-CLAUDE SEROUL	65	300	40	169	850764,00	544587,00	1395351,00	142832,00	2835,88	13089	5
MR NURLAN BIZAKOV	49	179	32	95	671530,00	426979,00	1098509,00	121780,00	3751,56	13705	4
MR SAM SANGSTER	3	3	1	1	571880,00	360,00	572240,00	109,00	190626,67	190627	1
MR ALAIN JATHIERE	39	149	28	80	533421,00	278943,00	812364,00	118007,00	3580,01	13677	4
YEGUADA CENTURION SLU	29	103	18	57	519444,00	370704,00	890148,00	81372,00	5043,15	17912	4
MME ISABELLE CORBANI	29	160	19	80	474531,00	277932,00	752463,00	106946,00	2965,82	16363	6
WESTMINSTER RACE HORSES SP ZOO	25	165	17	83	449551,00	155440,00	604991,00	44977,00	2724,55	17982	7
MME WALTRAUT SPANNER	4	21	9	8	429967,00	163849,00	593816,00	52398,00	20474,62	107492	5
GODOLPHIN	13	13	2	6	397075,00	0,00	397075,00	0,00	30544,23	30544	1
MAGNIER/TABOR/SMITH/MERRIEBELL	1	2	1	1	394290,00	0,00	394290,00	0,00	197145,00	394290	2
MR GUY PARIENTE	69	307	28	165	376490,00	235007,00	611497,00	147021,00	1226,35	5456	4
MR HELAL ALALAWI	6	15	4	8	368700,00	19915,00	388615,00	32469,00	24580,00	61450	3
RESOLUTE BLOODSTOCK	4	11	6	4	360334,00	83482,00	443816,00	53612,00	32757,64	90084	3
HARAS DE LA PERELLE	7	23	7	8	348453,00	117203,00	465656,00	55860,00	15150,13	49779	3
MR JEAN-PIERRE-JOSEPH DUBOIS	36	131	23	70	346758,00	245356,00	592114,00	74619,00	2647,01	9632	4
PRCE A. FAISAL	5	16	5	7	344640,00	0,00	344640,00	0,00	21540,00	68928	3
MR ALEXANDRE DE LANFRANCHI	20	117	21	72	332731,00	50692,00	383423,00	54861,00	2843,85	16637	6
MR JEAN-PIERRE VANDEN HEEDE	29	321	18	140	326301,00	169844,00	496145,00	73028,00	1016,51	11252	11
LE MARAIS SAS	54	260	28	162	326088,00	191321,00	517409,00	106468,00	1254,18	6039	5
JUDDMONTE FARMS LTD	8	9	0	3	322555,00	0,00	322555,00	0,00	35839,44	40319	1
