Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
CRISTIAN DEMURO	680	1234	180	637	5802023,00	2277769,00	8079792,00	767461,00	4701,80	8532	2
MAXIME GUYON	598	1098	169	580	6203958,00	2564390,00	8768348,00	746802,00	5650,23	10375	2
MICKAEL BARZALONA	535	920	164	504	9750128,00	2668049,00	12418177,00	970662,00	10597,97	18225	2
ALEXIS POUCHIN	416	729	96	389	3082955,00	1207271,00	4290226,00	372991,00	4229,02	7411	2
AUGUSTIN MADAMET	453	844	80	443	2174137,00	1042340,00	3216477,00	321260,00	2575,99	4799	2
TONY PICCONE	320	683	70	315	1664481,00	738336,00	2402817,00	233647,00	2437,01	5202	2
MARVIN GRANDIN	279	551	69	304	1519623,00	735355,00	2254978,00	249090,00	2757,94	5447	2
ANTONIO ORANI	243	462	68	254	1123718,00	571710,00	1695428,00	182445,00	2432,29	4624	2
CHRISTOPHE SOUMILLON	297	423	65	213	7158154,00	1358667,00	8516821,00	562863,00	16922,35	24102	1
CLEMENT LECOEUVRE	380	687	62	350	2371919,00	1043577,00	3415496,00	346553,00	3452,57	6242	2
THEO BACHELOT	368	655	62	324	1633940,00	898999,00	2532939,00	280417,00	2494,56	4440	2
AURELIEN LEMAITRE	431	744	58	341	2247043,00	995899,00	3242942,00	320275,00	3020,22	5214	2
STEPHANE PASQUIER	259	488	54	230	2704965,00	946453,00	3651418,00	321952,00	5542,96	10444	2
MME MARIE VELON	311	599	51	293	1219535,00	580602,00	1800137,00	194281,00	2035,95	3921	2
ANTHONY CRASTUS	348	639	50	325	1288917,00	609289,00	1898206,00	217273,00	2017,08	3704	2
HUGO LEBOUC	271	466	47	218	713007,00	350169,00	1063176,00	129676,00	1530,06	2631	2
DORIAN PROVOST	195	343	47	165	801138,00	378776,00	1179914,00	132699,00	2335,68	4108	2
MME DELPHINE SANTIAGO	212	442	42	216	585099,00	270967,00	856066,00	98100,00	1323,75	2760	2
GUILLAUME GUEDJ-GAY	170	330	42	191	800213,00	343503,00	1143716,00	144242,00	2424,89	4707	2
ALEXANDRE GAVILAN	160	298	38	143	595574,00	203747,00	799321,00	106759,00	1998,57	3722	2
MALONE FAVRIAUX	246	379	37	200	840858,00	399324,00	1240182,00	129587,00	2218,62	3418	2
HUGO BESNIER	138	304	37	165	711995,00	417048,00	1129043,00	129277,00	2342,09	5159	2
FABIEN LEFEBVRE	112	273	36	142	541241,00	231461,00	772702,00	85843,00	1982,57	4833	2
JEAN-BERNARD EYQUEM	98	160	35	75	654749,00	403982,00	1058731,00	115180,00	4092,18	6681	2
