Cheval	Âge	Sexe	Race	Courses	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Gain moyen	Valeur
CONSTITUTION RIVER	3	M	PUR SANG	1	1	0	857100,00	171420,00	1028520,00	857100,00	525
HAWK MOUNTAIN	3	M	PUR SANG	2	1	1	379500,00	0,00	379500,00	189750,00	525
RAYIF	3	M	PUR SANG	1	1	0	371410,00	0,00	371410,00	371410,00	530
DARYZ	4	M	PUR SANG	2	2	0	314270,00	62854,00	377124,00	157135,00	575
DIAMOND NECKLACE	3	F	PUR SANG	1	1	0	314270,00	62854,00	377124,00	314270,00	
CABALLO DE MAR	5	H	PUR SANG	1	1	0	228560,00	0,00	228560,00	228560,00	520
KOMOREBI	3	M	PUR SANG	3	1	1	185190,00	0,00	185190,00	61730,00	520
MONTREAL	3	M	PUR SANG	2	0	2	181510,00	0,00	181510,00	90755,00	470
BRIGHT PICTURE	5	H	PUR SANG	3	2	1	173010,00	60709,00	233719,00	57670,00	530
THE LAST DANCE	3	F	PUR SANG	3	2	1	150880,00	44008,00	194888,00	50293,33	500
NO LUNCH	5	M	PUR SANG	4	4	0	126430,00	56893,00	183323,00	31607,50	515
ZELZARI	5	H	PUR SANG	7	4	3	109584,00	49309,00	158893,00	15654,86	505
LAPOTHEOSE	3	F	PUR SANG	3	3	0	103030,00	77271,00	180301,00	34343,33	505
AVENTURE	5	F	PUR SANG	2	1	1	102120,00	37381,00	139501,00	51060,00	530
ASMARANI	4	H	PUR SANG	4	3	1	100640,00	0,00	100640,00	25160,00	520
NAOMIS	3	F	PUR SANG	4	2	2	97200,00	72899,00	170099,00	24300,00	480
SANTORINI STAR	5	F	PUR SANG	1	0	1	91440,00	0,00	91440,00	91440,00	495
ALAM	3	M	PUR SANG	4	1	3	88888,00	43068,00	131956,00	22222,00	505
A BOY NAMED SUSIE	3	M	PUR SANG	1	0	1	85650,00	0,00	85650,00	85650,00	485
LEFFARD	4	M	PUR SANG	2	0	2	83330,00	23211,00	106541,00	41665,00	530
SILIUS	4	M	PUR SANG	5	2	3	82900,00	37304,00	120204,00	16580,00	500
HORIZON DORE	6	H	PUR SANG	5	2	3	75312,00	33890,00	109202,00	15062,40	500
HANKELOW	3	M	PUR SANG	2	0	1	74295,00	0,00	74295,00	37147,50	515
BEHRAYNA	3	F	PUR SANG	3	3	0	74100,00	55574,00	129674,00	24700,00	480
KAILANI	3	M	PUR SANG	7	3	2	73620,00	55214,00	128834,00	10517,14	475
STOLEN KISS	4	M	PUR SANG	4	3	0	73200,00	32940,00	106140,00	18300,00	485
MY CALYX CEN	3	M	PUR SANG	3	3	0	71800,00	53849,00	125649,00	23933,33	485
GREEN SPIRIT	3	F	PUR SANG	2	0	2	70185,00	0,00	70185,00	35092,50	500
VATICANA	3	F	PUR SANG	6	2	3	69486,00	52113,00	121599,00	11581,00	470
LAZZAT	5	H	PUR SANG	1	1	0	68600,00	30870,00	99470,00	68600,00	525
GOLIATH	6	H	PUR SANG	1	1	0	67830,00	0,00	67830,00	67830,00	540
LANZELOT GOLD	5	M	PUR SANG	5	1	3	67580,00	30410,00	97990,00	13516,00	470
SHOWNA	3	F	PUR SANG	4	2	1	64330,00	39596,00	103926,00	16082,50	500
COLONEL MITCH	4	H	PUR SANG	6	3	2	63844,00	28727,00	92571,00	10640,67	460
CONCORDE AGREEMENT	3	F	PUR SANG	2	1	1	62780,00	47085,00	109865,00	31390,00	500
SUNLY	4	F	PUR SANG	2	1	1	62780,00	0,00	62780,00	31390,00	500
BLARNEY	4	H	PUR SANG	5	4	0	61800,00	0,00	61800,00	12360,00	425
PINK PANTHERA	3	F	PUR SANG	5	3	2	61661,00	46244,00	107905,00	12332,20	445
MISE EN BOITE	4	M	PUR SANG	4	1	3	59902,00	26955,00	86857,00	14975,50	470
VARANDIR	3	M	PUR SANG	3	3	0	59000,00	44249,00	103249,00	19666,67	475
SAJIR	5	M	PUR SANG	3	1	2	58920,00	0,00	58920,00	19640,00	520
AFANDY	3	H	PUR SANG	3	2	1	58560,00	43920,00	102480,00	19520,00	500
ROYALWOOD	6	F	PUR SANG	8	2	3	58449,00	26299,00	84748,00	7306,13	415
SABROSO	5	H	PUR SANG	2	1	1	56399,00	25379,00	81778,00	28199,50	435
HALF HALF	6	H	PUR SANG	6	1	4	55760,00	25088,00	80848,00	9293,33	410
ELASTIC	3	M	PUR SANG	3	1	2	54720,00	30815,00	85535,00	18240,00	505
SAINT MARTIN	3	M	PUR SANG	5	3	1	54556,00	40916,00	95472,00	10911,20	460
GILDED PRIZE	3	F	PUR SANG	3	2	1	53565,00	0,00	53565,00	17855,00	505
FELIX AUX ORMES	4	M	PUR SANG	6	1	4	52724,00	23721,00	76445,00	8787,33	420
TALENTUOSO	5	H	PUR SANG	6	1	4	51522,00	0,00	51522,00	8587,00	400
KIMI REY	3	F	PUR SANG	3	1	2	50770,00	0,00	50770,00	16923,33	460
BOX OFFICER	3	H	PUR SANG	5	2	3	50309,00	37730,00	88039,00	10061,80	405
EDAJA	3	F	PUR SANG	3	3	0	50300,00	37724,00	88024,00	16766,67	440
SEAGULLS ELEVEN	4	H	PUR SANG	2	1	1	49980,00	0,00	49980,00	24990,00	505
HELLO JO	3	M	PUR SANG	4	2	2	49514,00	37133,00	86647,00	12378,50	480
CAMPONANES	3	M	PUR SANG	7	5	2	49420,00	0,00	49420,00	7060,00	380
PEARLED MAJESTY	3	M	PUR SANG	3	2	0	49400,00	0,00	49400,00	16466,67	500
JABRACADABRA	3	H	PUR SANG	4	3	1	49040,00	36780,00	85820,00	12260,00	465
REMBRAND TO GO	4	M	PUR SANG	6	1	5	48775,00	21946,00	70721,00	8129,17	395
BARBATE	6	H	PUR SANG	3	3	0	47850,00	21531,00	69381,00	15950,00	425
HATANKA FAL	3	F	PUR SANG	5	2	3	47805,00	35853,00	83658,00	9561,00	450
REGALIEN	7	M	PUR SANG	12	3	5	47769,00	21493,00	69262,00	3980,75	385
CENTRAL PARK WEST	8	H	PUR SANG	8	2	3	47631,00	21431,00	69062,00	5953,88	410
QUEST FOR MAGIC	4	F	PUR SANG	2	2	0	47400,00	21329,00	68729,00	23700,00	450
BIG LOG	6	H	PUR SANG	5	1	3	46968,00	21134,00	68102,00	9393,60	390
SEGALL	3	M	PUR SANG	4	1	1	46660,00	34995,00	81655,00	11665,00	480
TORNADO ALLEY	3	M	PUR SANG	4	2	2	46610,00	34957,00	81567,00	11652,50	420
TIPINSO	4	M	PUR SANG	5	1	4	46485,00	20918,00	67403,00	9297,00	480
TORTISAMBERT	5	H	PUR SANG	5	1	3	46448,00	20898,00	67346,00	9289,60	435
BLACK SAXON	5	H	PUR SANG	4	2	2	46418,00	20886,00	67304,00	11604,50	395
TOKAIDO	2	H	PUR SANG	3	2	1	46356,00	0,00	46356,00	15452,00	
NARISSA	3	F	PUR SANG	2	0	2	46045,00	17261,00	63306,00	23022,50	485
CREW DRAGON	9	H	PUR SANG	11	2	6	45730,00	20575,00	66305,00	4157,27	385
AL RIFFA	6	M	PUR SANG	1	0	1	45720,00	0,00	45720,00	45720,00	545
ZAYIDA	3	F	PUR SANG	3	2	1	45270,00	33952,00	79222,00	15090,00	475
CLAVUS	5	M	PUR SANG	4	2	2	45029,00	20261,00	65290,00	11257,25	465
CHARLY	3	H	PUR SANG	3	2	1	44842,00	33631,00	78473,00	14947,33	420
SAINT SAENS	3	M	PUR SANG	4	1	3	44424,00	33318,00	77742,00	11106,00	390
LAVENDIN	5	H	PUR SANG	6	3	3	43834,00	19723,00	63557,00	7305,67	355
