Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
WERTHEIMER & FRERE	92	275	52	153	1326094,00	691437,00	2017531,00	175543,00	4822,16	14414	3
GUY PARIENTE HOLDING	100	393	35	219	747026,00	464939,00	1211965,00	130632,00	1900,83	7470	4
AGA KHAN STUDS SC	55	140	37	62	1564831,00	392684,00	1957515,00	124229,00	11177,36	28451	3
LG BLOODSTOCK	4	12	1	8	889061,00	187132,00	1076193,00	93266,00	74088,42	222265	3
AL SHAQAB RACING	62	196	20	115	578982,00	324408,00	903390,00	90366,00	2953,99	9338	3
MR JEAN-PIERRE-JOSEPH DUBOIS	43	160	21	93	430317,00	286636,00	716953,00	85008,00	2689,48	10007	4
MR ALAIN CHOPARD	70	319	23	155	390338,00	221039,00	611377,00	67996,00	1223,63	5576	5
MR JEAN-CLAUDE SEROUL	59	239	22	131	434890,00	232595,00	667485,00	67588,00	1819,62	7371	4
FRANKLIN FINANCE S.A.	42	142	17	78	301615,00	176311,00	477926,00	58689,00	2124,05	7181	3
GESTUT ZUR KUSTE AG	41	171	17	86	430941,00	272691,00	703632,00	52125,00	2520,12	10511	4
HARAS DE LA PERELLE	26	92	10	57	279470,00	142109,00	421579,00	46770,00	3037,72	10749	4
HARAS D'ETREHAM	60	213	18	104	492128,00	275457,00	767585,00	46767,00	2310,46	8202	4
SCUDERIA MICOLO SNC	23	116	9	75	230042,00	119096,00	349138,00	44995,00	1983,12	10002	5
MR ALAIN JATHIERE	31	120	16	52	251502,00	149423,00	400925,00	44011,00	2095,85	8113	4
HARAS DE BEAUMONT	15	54	9	33	208465,00	152587,00	361052,00	42448,00	3860,46	13898	4
ECURIE DES MONCEAUX	38	127	23	66	667954,00	254715,00	922669,00	41744,00	5259,48	17578	3
YEGUADA CENTURION SLU	25	70	13	31	271695,00	160370,00	432065,00	41103,00	3881,36	10868	3
ECURIE HARAS DU CADRAN	59	205	16	115	633697,00	270733,00	904430,00	40360,00	3091,20	10741	3
ECURIE NORMANDIE PUR SANG	22	104	12	48	212105,00	95425,00	307530,00	39944,00	2039,47	9641	5
ECURIE SKYMARC FARM	50	164	15	88	589502,00	206385,00	795887,00	39660,00	3594,52	11790	3
SUMBE	24	75	6	46	212212,00	115047,00	327259,00	37566,00	2829,49	8842	3
M.BOUTIN (S)	27	149	10	77	196056,00	100876,00	296932,00	37332,00	1315,81	7261	6
MR THIERRY DE LA HERONNIERE	38	159	18	86	320224,00	186703,00	506927,00	35826,00	2013,99	8427	4
MR RASHIT SHAYKHUTDINOV	27	93	11	45	200012,00	123554,00	323566,00	35784,00	2150,67	7408	3
MR JEAN-PHILIPPE DUBOIS	22	74	7	42	174355,00	100283,00	274638,00	32779,00	2356,15	7925	3
MR MATHIEU DAGUZAN-GARROS	25	111	11	58	225102,00	101765,00	326867,00	32308,00	2027,95	9004	4
SUC. JOHN PLOWDEN CARRINGTON	2	5	2	2	181790,00	64660,00	246450,00	32037,00	36358,00	90895	3
L.BAUDRON (S)	16	66	10	32	200901,00	106744,00	307645,00	31520,00	3043,95	12556	4
AL ASAYL FRANCE	20	62	8	32	208007,00	120286,00	328293,00	31112,00	3354,95	10400	3
MR CHRISTOPHE JOUANDOU	16	90	10	43	156686,00	79347,00	236033,00	30637,00	1740,96	9793	6
SARL  DARPAT FRANCE	14	50	10	25	190078,00	100903,00	290981,00	30625,00	3801,56	13577	4
