Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
FH. GRAFFARD (S)	145	297	85	169	2768492,00	816546,00	3585038,00	229073,00	9321,52	19093	2
AP. O'BRIEN	9	12	4	4	2340895,00	348554,00	2689449,00	177761,00	195074,58	260099	1
A. FABRE (S)	108	237	39	149	1644210,00	483303,00	2127513,00	141751,00	6937,59	15224	2
C. ESCUDER	135	557	67	329	1140192,00	545027,00	1685219,00	179559,00	2047,02	8446	4
P. COTTIER	57	230	35	145	1044381,00	522105,00	1566486,00	186662,00	4540,79	18322	4
HA. PANTALL (S)	111	367	44	201	929985,00	387573,00	1317558,00	120618,00	2534,02	8378	3
J. REYNIER (S)	67	215	38	127	874502,00	411319,00	1285821,00	126719,00	4067,45	13052	3
Y. BARBEROT (S)	57	212	29	131	787241,00	462273,00	1249514,00	119910,00	3713,40	13811	4
C. FERLAND (S)	51	135	22	71	714433,00	392332,00	1106765,00	99429,00	5292,10	14008	3
JC. ROUGET (S)	47	129	22	83	680217,00	343616,00	1023833,00	111056,00	5273,00	14473	3
C&Y. LERNER (S)	48	150	12	89	662481,00	330269,00	992750,00	102958,00	4416,54	13802	3
M. BOUTIN (S)	51	331	27	179	545521,00	268576,00	814097,00	94338,00	1648,10	10696	6
S. WATTEL (S)	59	154	16	86	494376,00	292122,00	786498,00	93269,00	3210,23	8379	3
N. PERRET (S)	60	236	24	150	492740,00	245808,00	738548,00	81889,00	2087,88	8212	4
M. PITART	64	206	30	116	489603,00	271182,00	760785,00	89986,00	2376,71	7650	3
G. MOSSE (S)	42	152	16	85	478861,00	187840,00	666701,00	64324,00	3150,40	11401	4
M. BARATTI (S)	54	140	17	88	459167,00	259138,00	718305,00	74342,00	3279,76	8503	3
C. BOUTIN (S)	28	209	20	121	430347,00	198419,00	628766,00	74029,00	2059,08	15370	7
MME M. SCANDELLA-LACAILLE	63	267	26	175	430108,00	235166,00	665274,00	78523,00	1610,89	6827	4
X. THOMAS-DEMEAULTE (S)	43	76	12	47	411414,00	120809,00	532223,00	50397,00	5413,34	9568	2
A. FOUASSIER	77	256	30	142	409747,00	170511,00	580258,00	70608,00	1600,57	5321	3
M. DELCHER SANCHEZ	31	94	15	54	409577,00	171363,00	580940,00	49815,00	4357,20	13212	3
HF. DEVIN (S)	39	96	18	66	393714,00	181608,00	575322,00	50113,00	4101,19	10095	2
CHR. HEAD (S)	37	71	11	44	392720,00	190278,00	582998,00	44596,00	5531,27	10614	2
P&J. BRANDT (S)	27	86	15	48	387629,00	181407,00	569036,00	62929,00	4507,31	14357	3
N. CAULLERY	51	186	17	91	354165,00	146757,00	500922,00	55315,00	1904,11	6944	4
R. FRADET (S)	25	126	16	73	349314,00	197887,00	547201,00	66859,00	2772,33	13973	5
M. DELZANGLES	37	102	12	56	339427,00	193996,00	533423,00	62884,00	3327,72	9174	3
A. BOTTI (S)	37	134	14	81	335135,00	158732,00	493867,00	50041,00	2501,01	9058	4
ED. MONFORT (S)	52	153	18	97	324421,00	168679,00	493100,00	52369,00	2120,40	6239	3
MME S. GAVILAN	52	188	17	97	312802,00	171574,00	484376,00	58528,00	1663,84	6015	4
A. MURPHY (S)	51	138	14	81	308185,00	122637,00	430822,00	32662,00	2233,22	6043	3
M. BRASME (S)	48	177	17	84	302453,00	160522,00	462975,00	53122,00	1708,77	6301	4
F. CHAPPET (S)	35	116	9	64	280673,00	156349,00	437022,00	50008,00	2419,59	8019	3
CLEMENT & HERMANS (S)	35	85	14	44	280420,00	146601,00	427021,00	40022,00	3299,06	8012	2
TIM. DONWORTH (S)	33	89	15	47	276724,00	130017,00	406741,00	42672,00	3109,26	8386	3
J. BOISNARD (S)	51	157	19	76	270111,00	140100,00	410211,00	47298,00	1720,45	5296	3
FR. MONFORT (S)	52	197	13	117	268901,00	131432,00	400333,00	42915,00	1364,98	5171	4
P. GROUALLE (S)	27	80	8	53	259824,00	145929,00	405753,00	43803,00	3247,80	9623	3
F. FORESI	40	212	12	104	258739,00	116424,00	375163,00	43377,00	1220,47	6468	5
G. BIETOLINI	46	120	12	54	257804,00	139162,00	396966,00	40507,00	2148,37	5604	3
