Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
MICKAEL BARZALONA	249	394	96	210	3423428,00	1092858,00	4516286,00	333653,00	8688,90	13749	2
CRISTIAN DEMURO	388	623	78	367	2258042,00	1105916,00	3363958,00	351541,00	3624,47	5820	2
MAXIME GUYON	243	398	73	223	2399637,00	1088131,00	3487768,00	302942,00	6029,24	9875	2
MARVIN GRANDIN	365	576	64	331	1431224,00	732870,00	2164094,00	234127,00	2484,76	3921	2
ANTONIO ORANI	168	285	54	171	832821,00	444921,00	1277742,00	141588,00	2922,18	4957	2
ALEXIS POUCHIN	246	383	49	220	1556230,00	719379,00	2275609,00	221521,00	4063,26	6326	2
CHRISTOPHE SOUMILLON	169	245	38	149	1878397,00	541041,00	2419438,00	176863,00	7666,93	11115	1
TONY PICCONE	228	395	37	207	1210564,00	466458,00	1677022,00	166471,00	3064,72	5309	2
HUGO BESNIER	103	193	35	118	556511,00	320220,00	876731,00	100722,00	2883,48	5403	2
AUGUSTIN MADAMET	231	368	34	210	845648,00	409878,00	1255526,00	138469,00	2297,96	3661	2
AURELIEN LEMAITRE	222	364	32	189	906653,00	426065,00	1332718,00	132984,00	2490,80	4084	2
GUILLAUME GUEDJ-GAY	98	156	29	92	644463,00	255724,00	900187,00	98490,00	4131,17	6576	2
CLEMENT LECOEUVRE	195	298	27	162	809585,00	406428,00	1216013,00	118350,00	2716,73	4152	2
HUGO LEBOUC	159	244	26	131	362414,00	157376,00	519790,00	60138,00	1485,30	2279	2
ANTHONY CRASTUS	206	333	25	182	596313,00	326505,00	922818,00	110715,00	1790,73	2895	2
DORIAN PROVOST	141	224	24	124	459103,00	222995,00	682098,00	77627,00	2049,57	3256	2
MME DELPHINE SANTIAGO	150	247	24	106	350425,00	142321,00	492746,00	53709,00	1418,72	2336	2
MME AMBRE MOLINS	117	207	24	91	394825,00	195793,00	590618,00	70067,00	1907,37	3375	2
THOMAS TRULLIER	187	315	23	172	498533,00	230619,00	729152,00	79930,00	1582,64	2666	2
ANTOINE HAMELIN	145	258	22	145	570904,00	288961,00	859865,00	91820,00	2212,81	3937	2
JEROME CLAUDIC	136	221	22	107	374912,00	165253,00	540165,00	63402,00	1696,43	2757	2
ANTOINE WERLE	102	180	21	107	436998,00	203415,00	640413,00	83151,00	2427,77	4284	2
CHRISTOPHER GROSBOIS	124	170	21	93	238581,00	82143,00	320724,00	40025,00	1403,42	1924	1
ALEXANDRE GAVILAN	85	148	21	85	342101,00	110286,00	452387,00	61822,00	2311,49	4025	2
EDDY HARDOUIN	150	269	20	144	494614,00	227579,00	722193,00	80022,00	1838,71	3297	2
THEO BACHELOT	195	296	19	153	613771,00	316559,00	930330,00	105745,00	2073,55	3148	2
IORITZ MENDIZABAL	146	210	17	134	409825,00	203403,00	613228,00	71436,00	1951,55	2807	1
MME FRIDA VALLE SKAR	118	221	17	109	408675,00	195268,00	603943,00	73202,00	1849,21	3463	2
LEO ROUSSEL	98	159	17	89	272717,00	107255,00	379972,00	45674,00	1715,20	2783	2
MARTIN PROTTI	89	140	17	79	242099,00	105678,00	347777,00	35326,00	1729,28	2720	2
LUDOVIC BOISSEAU	167	278	16	137	379040,00	194260,00	573300,00	66330,00	1363,45	2270	2
FABRICE VERON	184	255	15	132	367592,00	168320,00	535912,00	61168,00	1441,54	1998	1
STEPHANE PASQUIER	118	188	15	96	638897,00	246594,00	885491,00	74492,00	3398,39	5414	2
MME MARIE WALDHAUSER	86	141	15	76	205192,00	77352,00	282544,00	37992,00	1455,26	2386	2
PIERRE REMOUE	101	146	15	74	226931,00	93996,00	320927,00	42154,00	1554,32	2247	1
GUILLAUME TROLLEY DE PREVAUX	67	96	15	57	236239,00	111774,00	348013,00	40473,00	2460,82	3526	1
GABRIEL BON	33	65	15	42	95635,00	48796,00	144431,00	18200,00	1471,31	2898	2
HUGO BOUTIN	144	251	13	151	394682,00	190451,00	585133,00	61889,00	1572,44	2741	2
AXEL BARON	85	158	13	84	203323,00	89430,00	292753,00	36369,00	1286,85	2392	2
MME MARIE VELON	118	162	12	87	227590,00	112024,00	339614,00	39705,00	1404,88	1929	1
MME CORALIE PACAUT	112	168	12	87	196029,00	93316,00	289345,00	33177,00	1166,84	1750	2
XAVIER BERGERON	64	99	12	49	132437,00	39562,00	171999,00	22447,00	1337,75	2069	2
MALONE FAVRIAUX	119	170	11	94	277777,00	112743,00	390520,00	35370,00	1633,98	2334	1
HUGO JOURNIAC	88	155	11	89	293189,00	167341,00	460530,00	47417,00	1891,54	3332	2
FABIEN LEFEBVRE	68	126	11	69	172616,00	68915,00	241531,00	29785,00	1369,97	2538	2
MME LORETTE GALLO	51	111	11	64	221316,00	127604,00	348920,00	42392,00	1993,84	4340	2
EMILIEN PUILLET-RODA	62	85	11	51	130540,00	56320,00	186860,00	23254,00	1535,76	2105	1
PIERRE-CHARLES BOUDOT	56	59	11	36	358715,00	121721,00	480436,00	33988,00	6079,92	6406	1
JORDAN PLATEAUX	40	54	11	28	104340,00	15365,00	119705,00	18480,00	1932,22	2608	1
JULIEN GUILLOCHON	78	138	10	84	166708,00	75979,00	242687,00	29400,00	1208,03	2137	2
DAVID BREUX	101	156	10	79	153733,00	68874,00	222607,00	26497,00	985,47	1522	2
MAXIME FOULON	92	147	10	69	198399,00	49808,00	248207,00	35866,00	1349,65	2157	2
