Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
CRISTIAN DEMURO	639	1141	152	669	4016339,00	1973099,00	5989438,00	629794,00	3520,02	6285	2
MICKAEL BARZALONA	332	582	139	319	5568158,00	1702581,00	7270739,00	506563,00	9567,28	16772	2
MARVIN GRANDIN	566	1051	117	600	2644753,00	1305937,00	3950690,00	428064,00	2516,42	4673	2
MAXIME GUYON	365	627	104	350	3789048,00	1632193,00	5421241,00	472877,00	6043,14	10381	2
ANTONIO ORANI	263	526	93	309	1509189,00	776304,00	2285493,00	247686,00	2869,18	5738	2
ALEXIS POUCHIN	353	589	75	326	2257235,00	981529,00	3238764,00	307890,00	3832,32	6394	2
CHRISTOPHE SOUMILLON	246	379	62	225	2941884,00	860309,00	3802193,00	272508,00	7762,23	11959	2
TONY PICCONE	348	686	56	366	1819675,00	712689,00	2532364,00	245360,00	2652,59	5229	2
CLEMENT LECOEUVRE	285	501	55	263	1520990,00	656784,00	2177774,00	202988,00	3035,91	5337	2
HUGO BESNIER	175	376	54	232	1009983,00	571978,00	1581961,00	177278,00	2686,13	5771	2
PIERRE-CHARLES BOUDOT	227	289	54	154	1827095,00	553276,00	2380371,00	173356,00	6322,13	8049	1
AUGUSTIN MADAMET	366	637	52	372	1431882,00	681923,00	2113805,00	228964,00	2247,85	3912	2
AURELIEN LEMAITRE	358	637	49	327	1384189,00	641657,00	2025846,00	201613,00	2172,98	3866	2
HUGO BOUTIN	220	476	45	262	872987,00	403251,00	1276238,00	139124,00	1834,01	3968	2
THEO BACHELOT	313	539	43	289	1234264,00	614286,00	1848550,00	207330,00	2289,91	3943	2
MME DELPHINE SANTIAGO	235	446	43	202	682798,00	300120,00	982918,00	109264,00	1530,94	2906	2
ANTHONY CRASTUS	351	637	42	358	1263691,00	589729,00	1853420,00	203205,00	1983,82	3600	2
ALEXANDRE GAVILAN	138	272	42	157	641966,00	228228,00	870194,00	109908,00	2360,17	4652	2
THOMAS TRULLIER	271	536	40	293	912279,00	432398,00	1344677,00	151481,00	1702,01	3366	2
HUGO LEBOUC	244	430	40	239	623592,00	253953,00	877545,00	104439,00	1450,21	2556	2
ANTOINE HAMELIN	213	417	38	233	977756,00	491878,00	1469634,00	158131,00	2344,74	4590	2
FABRICE VERON	322	490	36	253	776179,00	350220,00	1126399,00	131320,00	1584,04	2410	2
GUILLAUME GUEDJ-GAY	142	257	35	167	879896,00	349756,00	1229652,00	143006,00	3423,72	6196	2
MARTIN PROTTI	146	249	35	133	463892,00	210231,00	674123,00	68907,00	1863,02	3177	2
STEPHANE PASQUIER	198	363	34	194	1093201,00	444844,00	1538045,00	133960,00	3011,57	5521	2
CHRISTOPHER GROSBOIS	204	318	34	169	419396,00	165265,00	584661,00	73265,00	1318,86	2056	2
EDDY HARDOUIN	243	506	33	257	883857,00	379479,00	1263336,00	135840,00	1746,75	3637	2
ANTOINE WERLE	156	302	33	177	644548,00	304288,00	948836,00	121709,00	2134,26	4132	2
LEO ROUSSEL	162	293	33	161	512987,00	210896,00	723883,00	88877,00	1750,81	3167	2
MME AMBRE MOLINS	175	334	33	147	575924,00	278568,00	854492,00	99824,00	1724,32	3291	2
MME MARIE VELON	245	381	32	214	629522,00	293658,00	923180,00	101857,00	1652,29	2569	2
IORITZ MENDIZABAL	223	374	31	237	732711,00	360417,00	1093128,00	132107,00	1959,12	3286	2
DORIAN PROVOST	181	330	30	177	607842,00	296281,00	904123,00	103511,00	1841,95	3358	2
LEONARD PLOMMEE	101	169	29	75	373057,00	150294,00	523351,00	51307,00	2207,44	3694	2
MME FRIDA VALLE SKAR	183	371	28	179	628083,00	302351,00	930434,00	110381,00	1692,95	3432	2
JEROME CLAUDIC	181	316	28	155	530526,00	245450,00	775976,00	92746,00	1678,88	2931	2
PIERRE REMOUE	202	300	28	149	432495,00	188447,00	620942,00	75154,00	1441,65	2141	1
LUDOVIC BOISSEAU	245	455	27	238	661035,00	339939,00	1000974,00	115632,00	1452,82	2698	2
AXEL BARON	143	281	24	155	395188,00	177789,00	572977,00	70681,00	1406,36	2764	2
GABRIEL BON	53	106	24	66	145835,00	77170,00	223005,00	28092,00	1375,80	2752	2
ROMAIN DUBORD	121	233	23	113	261752,00	91829,00	353581,00	43088,00	1123,40	2163	2
FABIEN LEFEBVRE	108	229	22	124	358737,00	154411,00	513148,00	60689,00	1566,54	3322	2
GUILLAUME TROLLEY DE PREVAUX	103	163	22	97	373362,00	172422,00	545784,00	62122,00	2290,56	3625	2
MME LORETTE GALLO	72	216	21	119	414569,00	226532,00	641101,00	77721,00	1919,30	5758	3
HUGO JOURNIAC	139	281	20	161	516119,00	295128,00	811247,00	84386,00	1836,72	3713	2
JULIEN GUILLOCHON	119	227	19	130	277342,00	131595,00	408937,00	50065,00	1221,77	2331	2
ENZO CORALLO	142	217	19	105	384167,00	187070,00	571237,00	61530,00	1770,35	2705	2
LEO-PAUL BRECHET	86	115	19	59	242622,00	86985,00	329607,00	39618,00	2109,76	2821	1
MME CORALIE PACAUT	176	289	18	142	327315,00	163671,00	490986,00	57002,00	1132,58	1860	2
MME MARIE WALDHAUSER	114	232	18	135	323218,00	132202,00	455420,00	59902,00	1393,18	2835	2
YOANN ROUSSET	92	175	18	98	232786,00	91542,00	324328,00	41739,00	1330,21	2530	2
PIERRE BAZIRE	102	198	18	84	293639,00	98097,00	391736,00	39916,00	1483,03	2879	2
MALONE FAVRIAUX	179	267	17	148	417582,00	170267,00	587849,00	54723,00	1563,98	2333	1
SAMY LE QUILLEUC	110	188	17	98	280025,00	135418,00	415443,00	52023,00	1489,49	2546	2
NUNO MANUEL LOPES DUARTE	121	206	16	103	238447,00	136806,00	375253,00	44157,00	1157,51	1971	2
JEAN-BERNARD EYQUEM	68	108	16	70	341566,00	182269,00	523835,00	56065,00	3162,65	5023	2
MAXENCE MARQUETTE	109	154	16	64	207721,00	87892,00	295613,00	29129,00	1348,84	1906	1
MME MARGOT ROMARY	100	149	16	60	169236,00	51369,00	220605,00	28381,00	1135,81	1692	1
ALEJANDRO GUTIERREZ VAL	88	179	15	90	253257,00	108214,00	361471,00	36529,00	1414,84	2878	2
MME ADELINE MEROU	79	138	15	81	170420,00	60100,00	230520,00	30054,00	1234,93	2157	2
