Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
CRISTIAN DEMURO	770	1414	217	717	6534273,00	2625636,00	9159909,00	875023,00	4621,13	8486	2
MAXIME GUYON	718	1344	207	722	7131570,00	3029322,00	10160892,00	886357,00	5306,23	9933	2
MICKAEL BARZALONA	543	932	167	510	9819883,00	2694366,00	12514249,00	976722,00	10536,36	18084	2
MARVIN GRANDIN	429	886	114	485	2360454,00	1159829,00	3520283,00	385011,00	2664,17	5502	2
AUGUSTIN MADAMET	591	1168	104	613	2828172,00	1330189,00	4158361,00	412691,00	2421,38	4785	2
ANTONIO ORANI	342	702	98	395	1675322,00	875927,00	2551249,00	282962,00	2386,50	4899	2
ALEXIS POUCHIN	427	759	97	410	3161415,00	1237132,00	4398547,00	382814,00	4165,24	7404	2
TONY PICCONE	427	960	93	441	2312605,00	1038911,00	3351516,00	331198,00	2408,96	5416	2
THEO BACHELOT	496	914	87	450	2323076,00	1230683,00	3553759,00	387469,00	2541,66	4684	2
CHRISTOPHE SOUMILLON	348	494	86	248	7577856,00	1532624,00	9110480,00	617623,00	15339,79	21775	1
CLEMENT LECOEUVRE	509	970	83	495	3086434,00	1417116,00	4503550,00	463780,00	3181,89	6064	2
ANTHONY CRASTUS	509	972	81	462	1900165,00	934985,00	2835150,00	322451,00	1954,90	3733	2
MME MARIE VELON	446	913	79	450	1814645,00	883021,00	2697666,00	293884,00	1987,56	4069	2
STEPHANE PASQUIER	352	712	78	346	3346676,00	1228944,00	4575620,00	408897,00	4700,39	9508	2
AURELIEN LEMAITRE	503	906	75	420	2615921,00	1197178,00	3813099,00	384756,00	2887,33	5201	2
MME DELPHINE SANTIAGO	316	717	74	351	1078728,00	519462,00	1598190,00	185647,00	1504,50	3414	2
HUGO LEBOUC	351	684	65	333	1070275,00	536866,00	1607141,00	193949,00	1564,73	3049	2
HUGO BESNIER	211	511	62	277	1260575,00	742475,00	2003050,00	223893,00	2466,88	5974	2
DORIAN PROVOST	264	477	62	226	1041887,00	492159,00	1534046,00	173804,00	2184,25	3947	2
GUILLAUME GUEDJ-GAY	206	439	61	242	1081818,00	488704,00	1570522,00	192699,00	2464,28	5252	2
HUGO JOURNIAC	216	482	52	225	1037302,00	588298,00	1625600,00	180875,00	2152,08	4802	2
EDDY HARDOUIN	361	704	51	334	1222334,00	587120,00	1809454,00	200374,00	1736,27	3386	2
HUGO BOUTIN	328	708	50	362	1213252,00	607891,00	1821143,00	213132,00	1713,63	3699	2
LUDOVIC BOISSEAU	324	647	50	279	931795,00	424585,00	1356380,00	158204,00	1440,18	2876	2
JEROME MOUTARD	243	470	50	202	847377,00	402954,00	1250331,00	139420,00	1802,93	3487	2
FABIEN LEFEBVRE	154	382	49	199	776724,00	332221,00	1108945,00	122865,00	2033,31	5044	2
MALONE FAVRIAUX	322	537	48	276	1099277,00	517893,00	1617170,00	166247,00	2047,07	3414	2
FABRICE VERON	443	748	46	373	1164508,00	525980,00	1690488,00	205850,00	1556,83	2629	2
MME FRIDA VALLE SKAR	211	503	46	191	746608,00	366157,00	1112765,00	129091,00	1484,31	3538	2
PIERRE REMOUE	270	430	45	215	607290,00	268240,00	875530,00	103350,00	1412,30	2249	2
GABRIEL BON	110	212	45	100	301287,00	151549,00	452836,00	57286,00	1421,17	2739	2
ALEXANDRE GAVILAN	194	403	43	203	754934,00	271088,00	1026022,00	129756,00	1873,29	3891	2
EMILIEN PUILLET-RODA	198	354	43	175	534454,00	221376,00	755830,00	94388,00	1509,76	2699	2
JEAN-BERNARD EYQUEM	119	209	43	107	807799,00	492385,00	1300184,00	141205,00	3865,07	6788	2
LEO ROUSSEL	234	439	41	222	806216,00	341254,00	1147470,00	135255,00	1836,48	3445	2
JEROME CLAUDIC	261	451	39	195	610294,00	247618,00	857912,00	105051,00	1353,20	2338	2
IORITZ MENDIZABAL	358	554	38	304	1196349,00	652949,00	1849298,00	219582,00	2159,47	3342	2
ANTOINE WERLE	235	474	38	267	843855,00	293931,00	1137786,00	154394,00	1780,28	3591	2
BENJAMIN MARIE	320	625	36	286	965309,00	469148,00	1434457,00	167401,00	1544,49	3017	2
SYLVAIN RUIS	159	343	36	192	767375,00	469085,00	1236460,00	127315,00	2237,24	4826	2
MME MANON GERMAIN	172	310	36	147	516503,00	262672,00	779175,00	86777,00	1666,14	3003	2
