Cheval	Âge	Sexe	Race	Courses	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Gain moyen	Valeur
BRIGHT PICTURE	5	H	PUR SANG	2	2	0	104430,00	46993,00	151423,00	52215,00	515
ZELZARI	5	H	PUR SANG	5	2	3	58684,00	26405,00	85089,00	11736,00	425
NO LUNCH (IRE)	5	M	PUR SANG	3	3	0	58600,00	26370,00	84970,00	19533,00	505
AFANDY	3	H	PUR SANG	3	2	1	58560,00	43920,00	102480,00	19520,00	500
SAINT MARTIN	3	M	PUR SANG	4	3	1	54556,00	40916,00	95472,00	13639,00	460
LANZELOT GOLD	5	M	PUR SANG	3	1	2	53860,00	24236,00	78096,00	17953,00	470
MISE EN BOITE	4	M	PUR SANG	3	1	2	50302,00	22635,00	72937,00	16767,00	445
BLARNEY GB	4	H	PUR SANG	4	3	0	49450,00	0,00	49450,00	12362,00	425
SHOWNA	3	F	PUR SANG	3	2	0	48600,00	36450,00	85050,00	16200,00	500
SILIUS (IRE)	4	M	PUR SANG	3	2	1	47130,00	21208,00	68338,00	15710,00	500
SEGALL (IRE)	3	M	PUR SANG	2	1	1	46660,00	34995,00	81655,00	23330,00	480
COLONEL MITCH	4	H	PUR SANG	4	2	2	46444,00	20897,00	67341,00	11611,00	440
CENTRAL PARK WEST	8	H	PUR SANG	5	2	2	45595,00	20515,00	66110,00	9119,00	415
CLAVUS	5	M	PUR SANG	4	2	2	45029,00	20261,00	65290,00	11257,00	465
TALENTUOSO USA	5	H	PUR SANG	4	1	3	44396,00	0,00	44396,00	11099,00	400
CREW DRAGON	9	H	PUR SANG	7	2	4	44083,00	19835,00	63918,00	6297,00	410
VATICANA	3	F	PUR SANG	5	2	2	43306,00	32478,00	75784,00	8661,00	480
SCARFACE	8	H	PUR SANG	8	1	6	43229,00	19451,00	62680,00	5403,00	390
GRAND BALCON	7	H	PUR SANG	5	1	2	42248,00	19009,00	61257,00	8449,00	375
HELLO JO	3	M	PUR SANG	3	2	1	42194,00	31643,00	73837,00	14064,00	445
STOLEN KISS	4	M	PUR SANG	3	2	0	41200,00	18540,00	59740,00	13733,00	485
ASMARANI IRE	4	H	PUR SANG	2	2	0	41200,00	0,00	41200,00	20600,00	500
FIRE REBEL	5	H	PUR SANG	5	2	2	40706,00	18316,00	59022,00	8141,00	430
HORIZON DORE	6	H	PUR SANG	3	1	2	40532,00	18239,00	58771,00	13510,00	490
CLICCLIC PANPANPAN	6	F	PUR SANG	7	3	1	39626,00	17830,00	57456,00	5660,00	320
MARLOWE	6	H	PUR SANG	5	1	4	39205,00	17640,00	56845,00	7841,00	360
AIDAN'S PHONE	4	H	PUR SANG	4	1	3	39122,00	17604,00	56726,00	9780,00	450
STAR OF ARTABAN GB	4	H	PUR SANG	4	3	0	38900,00	0,00	38900,00	9725,00	410
ACOTANGO	5	H	PUR SANG	9	3	5	38780,00	17449,00	56229,00	4308,00	370
CAMPONANES IRE	3	M	PUR SANG	6	4	2	38370,00	0,00	38370,00	6395,00	380
HAUTE GAMME	5	H	PUR SANG	8	2	6	37934,00	17068,00	55002,00	4741,00	275
BARBATE (GB)	6	H	PUR SANG	2	2	0	37800,00	17009,00	54809,00	18900,00	425
IZASTEP	6	M	PUR SANG	5	3	1	37722,00	16973,00	54695,00	7544,00	385
LAVENDIN	5	H	PUR SANG	5	3	2	36708,00	16517,00	53225,00	7341,00	355
REGALIEN	7	M	PUR SANG	8	2	3	36643,00	16487,00	53130,00	4580,00	365
DREAMLINER	4	M	PUR SANG	1	1	0	36600,00	16470,00	53070,00	36600,00	505
CONCORDE AGREEMENT	3	F	PUR SANG	1	1	0	36600,00	27450,00	64050,00	36600,00	
MY CALYX CEN (IRE)	3	M	PUR SANG	2	2	0	35200,00	26399,00	61599,00	17600,00	455
FOU FURIEUX	5	M	PUR SANG	4	1	1	35122,00	15803,00	50925,00	8780,00	405
TORTISAMBERT	5	H	PUR SANG	3	1	1	35122,00	15803,00	50925,00	11707,00	435
ZELORO	5	H	PUR SANG	3	1	2	34612,00	15574,00	50186,00	11537,00	425
TIPINSO	4	M	PUR SANG	3	1	2	34220,00	15399,00	49619,00	11406,00	450
AUTEUR (GB)	5	M	PUR SANG	5	2	3	34101,00	15345,00	49446,00	6820,00	370
PURPLE LION (IRE)	4	H	PUR SANG	2	1	1	34090,00	15340,00	49430,00	17045,00	430
COLIN THE BRAVE IRE	4	H	PUR SANG	3	1	2	34060,00	0,00	34060,00	11353,00	455
KAILANI	3	M	PUR SANG	4	2	1	33830,00	25372,00	59202,00	8457,00	450
GRECIAN COMET	4	F	PUR SANG	4	1	2	32933,00	14818,00	47751,00	8233,00	435
APOLIDE	3	M	PUR SANG	4	2	1	32864,00	24648,00	57512,00	8216,00	420
