Cheval	Âge	Sexe	Race	Courses	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Gain moyen	Valeur
DARYZ	3	M	PUR SANG	6	5	1	3000740,00	107805,00	3108545,00	500123,33	575
MINNIE HAUK	3	F	PUR SANG	1	0	1	1143000,00	0,00	1143000,00	1143000,00	535
CAMILLE PISSARRO	3	M	PUR SANG	2	1	1	931395,00	0,00	931395,00	465697,50	525
SOSIE	4	M	PUR SANG	4	2	2	911950,00	115489,00	1027439,00	227987,50	550
GEZORA	3	F	PUR SANG	5	2	2	794660,00	280569,00	1075229,00	158932,00	525
DIEGO VELAZQUEZ	4	M	PUR SANG	1	1	0	571400,00	0,00	571400,00	571400,00	535
AVENTURE	4	F	PUR SANG	5	3	1	548380,00	150088,00	698468,00	109676,00	535
CUALIFICAR	3	M	PUR SANG	7	4	2	523445,00	0,00	523445,00	74777,86	520
SAHLAN	3	M	PUR SANG	5	2	1	509720,00	130874,00	640594,00	101944,00	530
AL GHADEER	6	M	ARABE	1	1	0	500000,00	0,00	500000,00	500000,00	600
ZARIGANA	3	F	PUR SANG	3	2	1	434280,00	149711,00	583991,00	144760,00	510
HENRI MATISSE	3	M	PUR SANG	2	1	1	394290,00	0,00	394290,00	197145,00	545
MARANOA CHARLIE	3	M	PUR SANG	5	3	2	379430,00	124286,00	503716,00	75886,00	535
LEFFARD	3	M	PUR SANG	7	3	1	376340,00	93693,00	470033,00	53762,86	530
PUERTO RICO	2	M	PUR SANG	2	2	0	371410,00	0,00	371410,00	185705,00	535
ARROW EAGLE	4	M	PUR SANG	7	5	0	362090,00	112943,00	475033,00	51727,14	530
WOODSHAUNA	3	M	PUR SANG	6	3	3	358494,00	119273,00	477767,00	59749,00	525
BEDTIME STORY	3	F	PUR SANG	5	0	3	308620,00	0,00	308620,00	61724,00	505
CAPE ORATOR	2	M	PUR SANG	3	2	1	288575,00	5715,00	294290,00	96191,67	475
BARNAVARA	3	F	PUR SANG	1	1	0	285700,00	0,00	285700,00	285700,00	495
GIAVELLOTTO	6	M	PUR SANG	1	0	1	285500,00	0,00	285500,00	285500,00	545
CANDELARI	4	H	PUR SANG	4	3	1	273060,00	95449,00	368509,00	68265,00	525
SAJIR	4	M	PUR SANG	4	2	1	266132,00	0,00	266132,00	66533,00	540
QUISISANA	5	F	PUR SANG	4	3	0	264010,00	61664,00	325674,00	66002,50	525
LUWSAIL	5	M	ARABE	4	1	3	255000,00	20500,00	275500,00	63750,00	555
HM ALCHAHINE	5	M	ARABE	2	1	1	250000,00	10000,00	260000,00	125000,00	595
SIBAYAN	4	H	PUR SANG	5	3	2	230240,00	103607,00	333847,00	46048,00	530
NOTABLE SPEECH	4	M	PUR SANG	1	0	1	228600,00	0,00	228600,00	228600,00	530
CALANDAGAN	4	H	PUR SANG	1	1	0	228560,00	0,00	228560,00	228560,00	590
DIAMOND NECKLACE	2	F	PUR SANG	1	1	0	228560,00	45712,00	274272,00	228560,00	
GREEN SPIRIT	2	F	PUR SANG	5	4	1	227870,00	0,00	227870,00	45574,00	500
TRINITY COLLEGE	3	M	PUR SANG	2	0	2	222810,00	0,00	222810,00	111405,00	520
BYZANTINE DREAM	4	M	PUR SANG	2	1	1	210830,00	0,00	210830,00	105415,00	550
CANKOURA	3	F	PUR SANG	6	3	2	201400,00	103044,00	304444,00	33566,67	500
ASFOORA	7	F	PUR SANG	1	1	0	199990,00	0,00	199990,00	199990,00	515
VENETIAN SUN	2	F	PUR SANG	1	1	0	199990,00	0,00	199990,00	199990,00	485
SEVENNA'S KNIGHT	5	M	PUR SANG	7	0	7	187967,00	0,00	187967,00	26852,43	505
FIRST LOOK	4	H	PUR SANG	5	3	2	187210,00	84244,00	271454,00	37442,00	530
