Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
MAXIME GUYON	102	119	25	63	691077,00	364466,00	1055543,00	111497,00	5807,37	6775	1
MICKAEL BARZALONA	99	115	23	60	550471,00	227910,00	778381,00	66857,00	4786,70	5560	1
MARVIN GRANDIN	168	211	22	125	532609,00	295584,00	828193,00	93242,00	2524,21	3170	1
ANTONIO ORANI	81	100	19	59	324409,00	176295,00	500704,00	55510,00	3244,09	4005	1
CRISTIAN DEMURO	158	190	18	117	612700,00	324109,00	936809,00	103221,00	3224,74	3878	1
ALEXIS POUCHIN	108	127	16	73	486741,00	177183,00	663924,00	58590,00	3832,61	4507	1
AURELIEN LEMAITRE	106	133	15	73	376289,00	213005,00	589294,00	63323,00	2829,24	3550	1
CHRISTOPHE SOUMILLON	88	102	15	58	421693,00	161599,00	583292,00	48639,00	4134,25	4792	1
HUGO BESNIER	54	73	13	46	216728,00	119311,00	336039,00	40715,00	2968,88	4013	1
MME DELPHINE SANTIAGO	76	94	13	40	163997,00	69061,00	233058,00	26094,00	1744,65	2158	1
TONY PICCONE	104	144	12	74	285277,00	107540,00	392817,00	36076,00	1981,09	2743	1
ALEXANDRE GAVILAN	39	48	11	25	127505,00	38075,00	165580,00	24061,00	2656,35	3269	1
AUGUSTIN MADAMET	104	118	10	71	237741,00	104000,00	341741,00	39165,00	2014,75	2286	1
CLEMENT LECOEUVRE	97	116	10	61	298583,00	123015,00	421598,00	40180,00	2573,99	3078	1
THEO BACHELOT	94	111	10	53	274071,00	143858,00	417929,00	48060,00	2469,11	2916	1
ANTHONY CRASTUS	90	119	9	62	191738,00	96417,00	288155,00	34625,00	1611,24	2130	1
LUDOVIC BOISSEAU	81	111	9	56	189579,00	92903,00	282482,00	33485,00	1707,92	2340	1
HUGO LEBOUC	74	84	9	45	122284,00	58173,00	180457,00	21775,00	1455,76	1652	1
MALONE FAVRIAUX	60	75	9	38	154884,00	65201,00	220085,00	21307,00	2065,12	2581	1
HUGO BOUTIN	78	107	8	64	199675,00	88603,00	288278,00	31407,00	1866,12	2560	1
DORIAN PROVOST	62	79	8	42	159692,00	71384,00	231076,00	27291,00	2021,42	2576	1
JEROME CLAUDIC	62	76	7	38	106010,00	48722,00	154732,00	18141,00	1394,87	1710	1
ANTOINE WERLE	45	58	7	36	130408,00	74193,00	204601,00	25128,00	2248,41	2898	1
AXEL BARON	44	56	7	26	81001,00	38301,00	119302,00	15313,00	1446,45	1841	1
GUILLAUME GUEDJ-GAY	36	43	7	23	102863,00	53850,00	156713,00	20439,00	2392,16	2857	1
JEREMY MOISAN	13	16	7	9	42799,00	19512,00	62311,00	7703,00	2674,94	3292	1
THOMAS TRULLIER	91	110	6	65	154894,00	75517,00	230411,00	25931,00	1408,13	1702	1
ANTOINE HAMELIN	60	77	6	47	144851,00	80710,00	225561,00	25164,00	1881,18	2414	1
EDDY HARDOUIN	69	88	6	40	134993,00	63091,00	198084,00	22345,00	1534,01	1956	1
MME CORALIE PACAUT	57	69	6	40	88937,00	42196,00	131133,00	14819,00	1288,94	1560	1
JULIEN GUILLOCHON	43	56	6	34	72038,00	25320,00	97358,00	12497,00	1286,39	1675	1
MME AMBRE MOLINS	51	68	6	29	85059,00	40787,00	125846,00	13618,00	1250,87	1668	1
ENZO CORALLO	44	50	6	25	85863,00	42925,00	128788,00	14409,00	1717,26	1951	1
MME MARIE WALDHAUSER	42	47	6	25	67059,00	24767,00	91826,00	12589,00	1426,79	1597	1
MARTIN PROTTI	30	33	6	14	54037,00	17200,00	71237,00	5865,00	1637,48	1801	1
FABRICE VERON	85	102	5	43	92736,00	33338,00	126074,00	11997,00	909,18	1091	1
MME LORETTE GALLO	27	45	5	24	90760,00	50123,00	140883,00	15392,00	2016,89	3361	2
XAVIER BERGERON	27	32	5	12	48722,00	15290,00	64012,00	7507,00	1522,56	1805	1
MME FRIDA VALLE SKAR	55	78	4	39	153139,00	73057,00	226196,00	28766,00	1963,32	2784	1
STEPHANE PASQUIER	54	64	4	36	139911,00	68976,00	208887,00	18837,00	2186,11	2591	1
BENJAMIN MARIE	45	58	4	33	79962,00	36592,00	116554,00	13658,00	1378,66	1777	1
CHRISTOPHER GROSBOIS	48	54	4	30	56012,00	21134,00	77146,00	8578,00	1037,26	1167	1
MAXIME FOULON	38	54	4	29	75608,00	16896,00	92504,00	13688,00	1400,15	1990	1
LEO ROUSSEL	43	52	4	27	71245,00	27047,00	98292,00	11013,00	1370,10	1657	1
MME LAURA POGGIONOVO	40	48	4	25	59247,00	15200,00	74447,00	9002,00	1234,31	1481	1
PIERRE REMOUE	34	38	4	22	55773,00	21005,00	76778,00	10318,00	1467,71	1640	1
MME MARGOT ROMARY	30	35	4	11	33641,00	9483,00	43124,00	5986,00	961,17	1121	1
GABRIEL BON	15	17	4	11	27940,00	14918,00	42858,00	5115,00	1643,53	1863	1
DAVID BREUX	51	60	3	30	58529,00	27698,00	86227,00	10651,00	975,48	1148	1
FABIEN LEFEBVRE	31	46	3	28	59023,00	25116,00	84139,00	10007,00	1283,11	1904	1
PIERRE BAZIRE	42	55	3	25	65138,00	22906,00	88044,00	8011,00	1184,33	1551	1
HUGO JOURNIAC	40	50	3	21	71494,00	38727,00	110221,00	10859,00	1429,88	1787	1
MAXIMILIEN JUSTUM	35	44	3	19	46093,00	18978,00	65071,00	8694,00	1047,57	1317	1
ALEJANDRO GUTIERREZ VAL	30	39	3	18	52258,00	19151,00	71409,00	5330,00	1339,95	1742	1
MME ADELINE MEROU	27	32	3	18	29789,00	9180,00	38969,00	5656,00	930,91	1103	1
GUILLAUME TROLLEY DE PREVAUX	26	30	3	16	69311,00	39362,00	108673,00	13349,00	2310,37	2666	1
ANTHONY BERNARD	29	32	3	12	30489,00	12728,00	43217,00	5481,00	952,78	1051	1
LEONARD PLOMMEE	18	19	3	9	41918,00	17120,00	59038,00	6833,00	2206,21	2329	1
JEAN-BERNARD EYQUEM	16	16	3	9	41465,00	19734,00	61199,00	6570,00	2591,56	2592	1
MAXENCE MARQUETTE	24	31	3	9	30618,00	15618,00	46236,00	4842,00	987,68	1276	1
COSTANTINO CARBONI	21	23	3	7	34124,00	17909,00	52033,00	6191,00	1483,65	1625	1
ANTHONY GIREL	16	18	3	7	17436,00	7969,00	25405,00	2573,00	968,67	1090	1
MME SIBYLLE VOGT	12	13	3	6	45062,00	14978,00	60040,00	4515,00	3466,31	3755	1
MME MATHILDE CABAL	17	20	3	6	26111,00	13092,00	39203,00	5093,00	1305,55	1536	1
VINCENT CHENET	15	17	3	5	32841,00	1435,00	34276,00	5911,00	1931,82	2189	1
DYLAN ALBERCA-GAVILAN	12	14	3	5	23028,00	12222,00	35250,00	4642,00	1644,86	1919	1
TIMOTHE BREBION	13	13	3	4	21078,00	5535,00	26613,00	2156,00	1621,38	1621	1
LUCAS ZULIANI	5	6	3	2	33500,00	0,00	33500,00	6029,00	5583,33	6700	1
MARTIN SEIDL	5	6	3	1	25222,00	129,00	25351,00	39,00	4203,67	5044	1
IORITZ MENDIZABAL	61	70	2	46	95543,00	42912,00	138455,00	15579,00	1364,90	1566	1
RONAN THOMAS	36	54	2	26	94276,00	61032,00	155308,00	17768,00	1745,85	2619	2
YOANN ROUSSET	27	35	2	22	44268,00	18128,00	62396,00	7860,00	1264,80	1640	1
GLEN MEURY	45	48	2	21	37486,00	19133,00	56619,00	6508,00	780,96	833	1
MATTHIAS LAURON	28	36	2	21	29977,00	7312,00	37289,00	5486,00	832,69	1071	1
SAMY LE QUILLEUC	30	35	2	20	52095,00	31492,00	83587,00	10095,00	1488,43	1736	1
VALENTIN SEGUY	31	36	2	18	49057,00	16523,00	65580,00	7555,00	1362,69	1582	1
WARREN LEVESQUE	23	27	2	16	27469,00	13259,00	40728,00	5083,00	1017,37	1194	1
MME PERRINE CHEYER	35	40	2	15	23708,00	10290,00	33998,00	4020,00	592,70	677	1
CLEMENT CADEL	24	30	2	14	30335,00	11193,00	41528,00	5519,00	1011,17	1264	1
EMILIEN PUILLET-RODA	23	24	2	13	30613,00	17263,00	47876,00	5391,00	1275,54	1331	1
NUNO MANUEL LOPES DUARTE	30	37	2	12	24173,00	9888,00	34061,00	3935,00	653,32	806	1
