Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
GUY PARIENTE HOLDING	80	235	23	129	462798,00	291126,00	753924,00	84574,00	1969,35	5785	3
WERTHEIMER & FRERE	66	154	26	83	537465,00	308606,00	846071,00	78333,00	3490,03	8143	2
MR JEAN-PIERRE-JOSEPH DUBOIS	35	97	14	53	253362,00	164426,00	417788,00	48869,00	2611,98	7239	3
MR ALAIN CHOPARD	56	200	13	94	249388,00	142347,00	391735,00	43016,00	1246,94	4453	4
MR JEAN-CLAUDE SEROUL	51	150	13	82	266196,00	134950,00	401146,00	40181,00	1774,64	5220	3
AL SHAQAB RACING	40	110	9	66	240052,00	149892,00	389944,00	35854,00	2182,29	6001	3
FRANKLIN FINANCE S.A.	35	80	10	44	176357,00	103295,00	279652,00	35397,00	2204,46	5039	2
SCUDERIA MICOLO SNC	22	80	6	56	173617,00	85557,00	259174,00	33337,00	2170,21	7892	4
HARAS DE LA PERELLE	23	59	5	36	186652,00	97830,00	284482,00	33113,00	3163,59	8115	3
HARAS D'ETREHAM	51	135	12	63	277319,00	171042,00	448361,00	29300,00	2054,21	5438	3
YEGUADA CENTURION SLU	24	43	9	17	180801,00	104735,00	285536,00	28290,00	4204,67	7533	2
MR THIERRY DE LA HERONNIERE	36	109	13	50	229706,00	135992,00	365698,00	26779,00	2107,39	6381	3
GESTUT ZUR KUSTE AG	38	111	10	44	187724,00	115625,00	303349,00	26589,00	1691,21	4940	3
AGA KHAN STUDS SC	39	67	11	36	271620,00	97403,00	369023,00	25386,00	4054,03	6965	2
HARAS DE BEAUMONT	11	29	5	19	116734,00	87543,00	204277,00	24759,00	4025,31	10612	3
MR ALAIN JATHIERE	29	75	11	31	146728,00	87230,00	233958,00	24404,00	1956,37	5060	3
M.BOUTIN (S)	22	92	6	52	126645,00	64172,00	190817,00	24249,00	1376,58	5757	4
MR RASHIT SHAYKHUTDINOV	24	56	6	29	130778,00	76891,00	207669,00	22771,00	2335,32	5449	2
ECURIE NORMANDIE PUR SANG	20	62	8	28	117191,00	52723,00	169914,00	22068,00	1890,18	5860	3
SUC. JOHN PLOWDEN CARRINGTON	2	3	2	1	113210,00	50944,00	164154,00	21339,00	37736,67	56605	2
SUMBE	19	48	4	29	101652,00	59682,00	161334,00	20563,00	2117,75	5350	3
MR CHRISTOPHE JOUANDOU	13	52	7	23	103602,00	50281,00	153883,00	20090,00	1992,35	7969	4
SARL  DARPAT FRANCE	10	32	7	15	121294,00	61094,00	182388,00	19225,00	3790,44	12129	3
MR MATHIEU DAGUZAN-GARROS	19	65	6	29	130756,00	56573,00	187329,00	18764,00	2011,63	6882	3
L.BAUDRON (S)	13	35	5	17	105893,00	59606,00	165499,00	18209,00	3025,51	8146	3
HARAS DU LOGIS SAINT GERMAIN	16	65	5	37	108266,00	58998,00	167264,00	17420,00	1665,63	6767	4
ECURIE LA VALLEE MARTIGNY EARL	21	76	3	43	107293,00	60587,00	167880,00	17133,00	1411,75	5109	4
AL ASAYL FRANCE	15	35	5	19	110915,00	62824,00	173739,00	16911,00	3169,00	7394	2
MR JEAN-PHILIPPE DUBOIS	17	43	3	23	92335,00	47818,00	140153,00	16851,00	2147,33	5431	3
ECURIE HARAS DU CADRAN	50	113	6	68	237280,00	122402,00	359682,00	16600,00	2099,82	4746	2
