Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
AGA KHAN STUDS SC	109	495	100	232	6755623,00	1599786,00	8355409,00	597309,00	13647,72	61978	5
WERTHEIMER & FRERE	129	733	121	366	4807620,00	2007822,00	6815442,00	569872,00	6558,83	37268	6
AL SHAQAB RACING	115	550	62	282	2462712,00	1014902,00	3477614,00	339892,00	4477,66	21415	5
HARAS D'ETREHAM	78	454	41	228	2042892,00	956271,00	2999163,00	254912,00	4499,76	26191	6
GUY PARIENTE HOLDING	118	707	69	365	1540440,00	867113,00	2407553,00	252982,00	2178,84	13055	6
MR ALAIN CHOPARD	98	858	74	432	1249021,00	735324,00	1984345,00	221199,00	1455,74	12745	9
HARAS DE LA PERELLE	43	234	36	115	1294102,00	628341,00	1922443,00	206611,00	5530,35	30095	5
MR JEAN-CLAUDE SEROUL	78	556	67	299	1326202,00	755539,00	2081741,00	200930,00	2385,26	17003	7
FRANKLIN FINANCE S.A.	68	439	45	216	1048394,00	535175,00	1583569,00	179191,00	2388,14	15418	6
ECURIE HARAS DU CADRAN	70	425	63	225	1665439,00	865017,00	2530456,00	143662,00	3918,68	23792	6
SUMBE	41	198	30	105	751443,00	460356,00	1211799,00	140883,00	3795,17	18328	5
MR JEAN-PIERRE-JOSEPH DUBOIS	55	298	44	145	671212,00	429814,00	1101026,00	127359,00	2252,39	12204	5
M.BOUTIN (S)	36	373	31	171	606408,00	355494,00	961902,00	118303,00	1625,76	16845	10
GESTUT ZUR KUSTE AG	53	416	39	200	1104146,00	549148,00	1653294,00	114970,00	2654,20	20833	8
YEGUADA CENTURION SLU	42	204	24	102	712981,00	494852,00	1207833,00	112811,00	3495,00	16976	5
ECURIE SKYMARC FARM	64	382	54	186	1356579,00	658269,00	2014848,00	106977,00	3551,25	21197	6
HARAS D'HASPEL	50	283	35	122	628695,00	357880,00	986575,00	105229,00	2221,54	12574	6
ECURIE DES MONCEAUX	63	357	43	165	1439344,00	673978,00	2113322,00	89828,00	4031,78	22847	6
SCUDERIA MICOLO SNC	29	206	14	120	418803,00	258442,00	677245,00	87597,00	2033,02	14441	7
SARL  JEDBURGH STUD	61	458	42	206	736887,00	397003,00	1133890,00	84145,00	1608,92	12080	8
MR MATHIEU DAGUZAN-GARROS	39	260	21	131	506436,00	279473,00	785909,00	82288,00	1947,83	12986	7
HARAS DE MAGOUET	14	72	8	31	456792,00	179524,00	636316,00	78071,00	6344,33	32628	5
MME ISABELLE CORBANI	36	265	30	122	619915,00	323778,00	943693,00	77648,00	2339,30	17220	7
ECURIE NORMANDIE PUR SANG	35	266	22	125	401462,00	205429,00	606891,00	77041,00	1509,26	11470	8
AVATARA S.A.	26	206	20	99	373678,00	214871,00	588549,00	76363,00	1813,97	14372	8
ECURIE LA VALLEE MARTIGNY EARL	30	214	22	106	431445,00	267619,00	699064,00	71384,00	2016,10	14382	7
MR THIERRY DE LA HERONNIERE	58	373	29	164	591252,00	357738,00	948990,00	70539,00	1585,13	10194	6
GOUSSERIE RACING	23	209	16	115	344566,00	205620,00	550186,00	69516,00	1648,64	14981	9
MR ALAIN JATHIERE	34	239	23	110	440398,00	260380,00	700778,00	69370,00	1842,67	12953	7
AL ASAYL FRANCE	29	115	17	42	516735,00	284742,00	801477,00	69160,00	4493,35	17818	4
S.C.E.A. DES PRAIRIES	47	296	25	136	630715,00	417388,00	1048103,00	68917,00	2130,79	13419	6
MR RASHIT SHAYKHUTDINOV	43	246	15	123	388558,00	233444,00	622002,00	68696,00	1579,50	9036	6
MR ROBERT NG	27	154	17	70	384055,00	228302,00	612357,00	68158,00	2493,86	14224	6
MR MOHAMMAD AL-NAJAFI	5	13	5	7	597540,00	32443,00	629983,00	66896,00	45964,62	119508	3
MR JEAN-PHILIPPE DUBOIS	32	173	9	92	326020,00	193603,00	519623,00	65125,00	1884,51	10188	5
HARAS DU QUESNAY	22	119	14	61	322696,00	185561,00	508257,00	65097,00	2711,73	14668	5
MR PIERRE LAMY	38	294	27	147	483534,00	264441,00	747975,00	64763,00	1644,67	12725	8
HARAS DES TROIS CHAPELLES	26	183	15	86	364324,00	194374,00	558698,00	64480,00	1990,84	14012	7
SUC. LARISSA KNEIP	28	188	21	84	405804,00	181481,00	587285,00	64049,00	2158,53	14493	7
ECURIE PEREGRINE SAS	20	119	13	62	370686,00	212605,00	583291,00	62730,00	3115,01	18534	6
ECURIE MELANIE	21	119	17	58	756474,00	330814,00	1087288,00	60848,00	6356,92	36023	6
HARAS DU MONT DIT MONT	33	167	15	82	464917,00	282167,00	747084,00	59835,00	2783,93	14088	5
ECURIE GRIBOMONT	17	134	23	74	508314,00	294102,00	802416,00	59538,00	3793,39	29901	8
EUROPEAN BLOODSTOCK MANAGEMENT	25	178	22	91	419970,00	182988,00	602958,00	59527,00	2359,38	16799	7
ELEVAGE HARAS DE BOURGEAUVILLE	40	195	19	90	313760,00	196570,00	510330,00	57927,00	1609,03	7844	5
HARAS DE MONTAIGU	23	132	19	73	389035,00	231567,00	620602,00	57725,00	2947,23	16915	6
MME HENRI DEVIN	25	106	14	61	301381,00	173421,00	474802,00	57312,00	2843,22	12055	4
MME YVETTE PANTALL	30	211	21	92	481054,00	291018,00	772072,00	57203,00	2279,88	16035	7
SARL  DARPAT FRANCE	23	128	18	60	420998,00	194835,00	615833,00	54936,00	3289,05	18304	6
MME WALTRAUT SPANNER	5	26	12	10	449067,00	172444,00	621511,00	54750,00	17271,81	89813	5
