Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
C. ESCUDER	103	288	32	155	597039,00	318962,00	916001,00	94691,00	2073,05	5796	3
FH. GRAFFARD (S)	67	103	29	61	541503,00	172485,00	713988,00	48038,00	5257,31	8082	2
P. COTTIER	42	116	16	77	393130,00	204264,00	597394,00	68645,00	3389,05	9360	3
J. REYNIER (S)	45	94	20	53	389657,00	183390,00	573047,00	58248,00	4145,29	8659	2
M. BOUTIN (S)	38	180	18	90	335128,00	152187,00	487315,00	55071,00	1861,82	8819	5
JC. ROUGET (S)	32	59	15	37	324048,00	178463,00	502511,00	53288,00	5492,34	10126	2
HA. PANTALL (S)	80	153	13	92	321985,00	137127,00	459112,00	41643,00	2104,48	4025	2
C. BOUTIN (S)	23	122	15	71	312189,00	144335,00	456524,00	53813,00	2558,93	13573	5
Y. BARBEROT (S)	41	92	10	57	290882,00	153822,00	444704,00	42409,00	3161,76	7095	2
A. FABRE (S)	47	61	7	46	265475,00	86584,00	352059,00	26032,00	4352,05	5648	1
MME M. SCANDELLA-LACAILLE	49	149	15	93	251527,00	134692,00	386219,00	45465,00	1688,10	5133	3
N. PERRET (S)	47	132	8	88	249295,00	118454,00	367749,00	39661,00	1888,60	5304	3
C. FERLAND (S)	34	56	11	26	233626,00	140012,00	373638,00	33462,00	4171,89	6871	2
R. FRADET (S)	21	74	10	44	223306,00	129016,00	352322,00	42339,00	3017,65	10634	4
A. FOUASSIER	50	104	14	58	189864,00	86791,00	276655,00	33853,00	1825,62	3797	2
M. PITART	37	84	8	49	180106,00	107210,00	287316,00	33954,00	2144,12	4868	2
M. BARATTI (S)	28	47	8	28	172668,00	87405,00	260073,00	26665,00	3673,79	6167	2
S. WATTEL (S)	33	53	5	35	164459,00	99515,00	263974,00	31934,00	3103,00	4984	2
P&J. BRANDT (S)	17	30	7	20	161116,00	74678,00	235794,00	26692,00	5370,53	9477	2
D. ARTU (S)	17	66	10	35	160299,00	77155,00	237454,00	29114,00	2428,77	9429	4
N. CAULLERY	31	86	6	41	157129,00	57764,00	214893,00	22922,00	1827,08	5069	3
MME S. GAVILAN	37	87	9	49	157120,00	83488,00	240608,00	27949,00	1805,98	4246	2
J. PARIZE	25	132	7	60	155133,00	58396,00	213529,00	22407,00	1175,25	6205	5
FR. MONFORT (S)	40	93	8	60	154800,00	74798,00	229598,00	24788,00	1664,52	3870	2
F. FORESI	32	110	8	48	150763,00	66721,00	217484,00	24610,00	1370,57	4711	3
F. CHAPPET (S)	28	49	6	25	144684,00	78158,00	222842,00	25558,00	2952,73	5167	2
G. MOSSE (S)	28	54	4	33	141225,00	64159,00	205384,00	21026,00	2615,28	5044	2
G. BIETOLINI	29	52	8	22	140942,00	83972,00	224914,00	25363,00	2710,42	4860	2
JUL. PHELIPPON	17	60	7	29	135743,00	66642,00	202385,00	25604,00	2262,38	7985	4
L. BAUDRON (S)	14	42	7	23	133044,00	58207,00	191251,00	20407,00	3167,71	9503	3
CHR. HEAD (S)	22	40	6	25	127591,00	74632,00	202223,00	16329,00	3189,78	5800	2
P. DECOUZ (S)	22	49	4	35	122536,00	58800,00	181336,00	21140,00	2500,73	5570	2
J. ANDREU (S)	21	56	7	35	119254,00	67424,00	186678,00	21122,00	2129,54	5679	3
CH. PLISSON (S)	19	84	6	33	117202,00	53898,00	171100,00	20871,00	1395,26	6169	4
M. BRASME (S)	31	76	7	33	116675,00	55380,00	172055,00	20704,00	1535,20	3764	2
C&Y. LERNER (S)	33	48	3	30	115493,00	62833,00	178326,00	16785,00	2406,10	3500	1
A. BOTTI (S)	28	59	5	31	113555,00	55794,00	169349,00	18696,00	1924,66	4056	2
T. POCHE	28	90	8	37	109627,00	48269,00	157896,00	20164,00	1218,08	3915	3
Y. BONNEFOY (S)	18	81	2	47	102542,00	44307,00	146849,00	16322,00	1265,95	5697	5
TIM. DONWORTH (S)	21	29	3	18	102418,00	50531,00	152949,00	16947,00	3531,66	4877	1
RC. MONTENEGRO	32	84	5	41	101729,00	23762,00	125491,00	8588,00	1211,06	3179	3
ED. MONFORT (S)	29	65	4	40	100800,00	42697,00	143497,00	13319,00	1550,77	3476	2
MME Y. VOLLMER	29	75	5	39	100373,00	50912,00	151285,00	17356,00	1338,31	3461	3
D&P. PROD'HOMME (S)	14	48	4	20	98184,00	47821,00	146005,00	17215,00	2045,50	7013	3
HF. DEVIN (S)	19	28	5	20	97488,00	52987,00	150475,00	13313,00	3481,71	5131	1
E. MIKHALIDES (S)	12	35	6	19	93084,00	53001,00	146085,00	15468,00	2659,54	7757	3
P. GROUALLE (S)	14	29	4	20	92794,00	45074,00	137868,00	14147,00	3199,79	6628	2
G. PANNIER	9	29	4	19	90627,00	46696,00	137323,00	16699,00	3125,07	10070	3
X. BLANCHET (S)	20	40	5	18	89975,00	39305,00	129280,00	14621,00	2249,38	4499	2
A. MURPHY (S)	25	50	6	26	87176,00	23750,00	110926,00	5715,00	1743,52	3487	2
