Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
CRISTIAN DEMURO	332	480	65	291	1576408,00	796588,00	2372996,00	255789,00	3284,18	4748	1
MARVIN GRANDIN	320	528	56	304	1286305,00	661663,00	1947968,00	212345,00	2436,18	4020	2
ANTONIO ORANI	159	272	53	154	879755,00	446777,00	1326532,00	143109,00	3234,39	5533	2
MICKAEL BARZALONA	127	161	41	77	1029476,00	366323,00	1395799,00	119835,00	6394,26	8106	1
ALEXIS POUCHIN	167	221	32	120	838104,00	321000,00	1159104,00	109886,00	3792,33	5019	1
CHRISTOPHE SOUMILLON	143	183	31	111	814544,00	337816,00	1152360,00	99683,00	4451,06	5696	1
CLEMENT LECOEUVRE	160	238	30	132	738762,00	326766,00	1065528,00	108270,00	3104,04	4617	1
MAXIME GUYON	120	154	30	85	821061,00	414644,00	1235705,00	126343,00	5331,56	6842	1
TONY PICCONE	208	353	29	185	703694,00	307222,00	1010916,00	100142,00	1993,47	3383	2
HUGO BESNIER	114	207	29	137	583438,00	309082,00	892520,00	102507,00	2818,54	5118	2
AURELIEN LEMAITRE	214	321	28	163	692534,00	352895,00	1045429,00	109173,00	2157,43	3236	2
AUGUSTIN MADAMET	202	287	25	174	635458,00	277117,00	912575,00	99696,00	2214,14	3146	1
HUGO BOUTIN	141	266	25	144	515993,00	236224,00	752217,00	79411,00	1939,82	3660	2
MME DELPHINE SANTIAGO	135	200	25	84	332245,00	142724,00	474969,00	53727,00	1661,23	2461	1
THEO BACHELOT	168	248	22	126	570506,00	273508,00	844014,00	92699,00	2300,43	3396	1
ANTHONY CRASTUS	224	359	21	206	602369,00	285488,00	887857,00	101942,00	1677,91	2689	2
FABRICE VERON	173	253	20	111	351484,00	148301,00	499785,00	55233,00	1389,26	2032	1
HUGO LEBOUC	123	182	18	97	262580,00	114818,00	377398,00	46268,00	1442,75	2135	1
THOMAS TRULLIER	153	244	17	135	381526,00	180752,00	562278,00	63727,00	1563,63	2494	2
ALEXANDRE GAVILAN	60	105	17	58	232623,00	83542,00	316165,00	40078,00	2215,46	3877	2
ANTOINE WERLE	86	138	16	77	264379,00	144403,00	408782,00	47857,00	1915,79	3074	2
LEONARD PLOMMEE	57	88	16	36	197224,00	91069,00	288293,00	29970,00	2241,18	3460	2
EDDY HARDOUIN	144	250	15	116	379775,00	173957,00	553732,00	65784,00	1519,10	2637	2
STEPHANE PASQUIER	111	170	15	97	414097,00	183639,00	597736,00	55171,00	2435,86	3731	2
AXEL BARON	84	132	14	71	203351,00	91602,00	294953,00	36340,00	1540,54	2421	2
FABIEN LEFEBVRE	59	112	14	61	220158,00	92935,00	313093,00	35794,00	1965,70	3731	2
ENZO CORALLO	94	128	14	57	245517,00	127741,00	373258,00	41314,00	1918,10	2612	1
JEROME CLAUDIC	110	157	13	75	220525,00	100850,00	321375,00	38947,00	1404,62	2005	1
LUDOVIC BOISSEAU	136	213	12	111	315056,00	160612,00	475668,00	56132,00	1479,14	2317	2
DORIAN PROVOST	104	158	12	80	238982,00	107201,00	346183,00	40500,00	1512,54	2298	2
CHRISTOPHER GROSBOIS	96	135	12	72	158977,00	66331,00	225308,00	26586,00	1177,61	1656	1
LEO ROUSSEL	79	124	12	61	187016,00	69997,00	257013,00	30521,00	1508,19	2367	2
